Actual,Predicted,Residuals
4,0,4
2,13,-11
2,3,-1
0,0,0
2,3,-1
9,4,5
23,0,23
0,1,-1
15,8,7
8,7,1
0,4,-4
3,0,3
6,12,-6
5,0,5
2,0,2
2,1,1
3,0,3
1,1,0
2,2,0
10,5,5
1,0,1
1,0,1
1,0,1
1,1,0
2,0,2
22,1,21
10,1,9
10,3,7
6,0,6
8,0,8
5,0,5
7,0,7
0,0,0
0,0,0
3,0,3
5,8,-3
8,0,8
0,0,0
2,0,2
11,0,11
3,1,2
1,0,1
4,1,3
0,0,0
8,0,8
3,1,2
0,3,-3
6,0,6
0,0,0
31,5,26
1,0,1
2,0,2
8,0,8
0,4,-4
0,37,-37
0,0,0
7,1,6
1,1,0
4,0,4
1,0,1
2,0,2
6,1,5
1,0,1
4,2,2
7,1,6
8,3,5
5,1,4
0,0,0
2,4,-2
2,0,2
5,0,5
3,0,3
15,15,0
29,0,29
14,0,14
4,1,3
0,0,0
6,0,6
5,0,5
3,0,3
17,4,13
3,2,1
0,0,0
5,0,5
0,0,0
2,3,-1
1,1,0
8,0,8
0,1,-1
2,0,2
20,2,18
0,2,-2
2,0,2
0,0,0
15,0,15
2,0,2
0,0,0
0,0,0
1,0,1
6,0,6
10,17,-7
20,12,8
10,32,-22
22,36,-14
0,0,0
9,2,7
0,6,-6
2,1,1
4,4,0
1,0,1
3,2,1
3,0,3
0,0,0
9,1,8
1,1,0
5,3,2
1,0,1
3,5,-2
10,0,10
7,1,6
1,0,1
2,0,2
2,0,2
3,0,3
37,14,23
0,0,0
12,1,11
9,0,9
0,0,0
0,1,-1
47,47,0
3,0,3
11,4,7
0,0,0
40,0,40
36,10,26
6,3,3
20,0,20
8,0,8
6,1,5
6,0,6
9,0,9
1,0,1
5,1,4
28,11,17
2,0,2
1,7,-6
4,1,3
23,20,3
1,0,1
8,0,8
21,7,14
12,1,11
2,0,2
4,0,4
0,1,-1
4,0,4
2,0,2
5,1,4
5,3,2
6,5,1
11,2,9
2,5,-3
3,1,2
7,6,1
12,0,12
3,0,3
1,2,-1
4,0,4
2,2,0
11,6,5
19,5,14
2,2,0
12,0,12
20,16,4
0,10,-10
8,5,3
0,0,0
5,5,0
2,1,1
2,0,2
3,0,3
2,1,1
15,1,14
1,1,0
0,1,-1
6,0,6
5,0,5
5,1,4
5,3,2
5,0,5
1,1,0
2,2,0
5,1,4
6,1,5
9,1,8
41,0,41
13,2,11
1,1,0
0,1,-1
1,0,1
17,6,11
6,0,6
0,1,-1
15,0,15
6,9,-3
14,1,13
0,0,0
2,0,2
0,0,0
12,18,-6
6,2,4
8,3,5
0,0,0
1,0,1
3,3,0
16,34,-18
0,0,0
6,5,1
21,8,13
4,0,4
1,0,1
58,34,24
13,22,-9
4,4,0
31,29,2
3,70,-67
2,3,-1
0,0,0
7,5,2
3,1,2
4,0,4
3,0,3
9,0,9
1,0,1
17,4,13
3,0,3
4,0,4
13,5,8
0,0,0
0,5,-5
2,4,-2
6,7,-1
8,0,8
9,0,9
0,0,0
1,0,1
3,1,2
36,2,34
13,1,12
7,2,5
8,0,8
8,1,7
0,0,0
2,5,-3
3,0,3
2,2,0
3,0,3
8,21,-13
4,0,4
16,11,5
19,5,14
0,0,0
3,0,3
6,1,5
4,1,3
0,0,0
4,0,4
1,2,-1
11,2,9
10,7,3
1,0,1
6,1,5
13,10,3
4,0,4
17,8,9
5,0,5
8,0,8
2,0,2
0,0,0
7,4,3
26,0,26
1,1,0
11,6,5
9,19,-10
0,2,-2
21,19,2
0,0,0
0,1,-1
8,0,8
2,0,2
0,2,-2
6,1,5
1,9,-8
4,4,0
7,0,7
6,0,6
0,0,0
0,0,0
3,3,0
0,1,-1
1,0,1
29,0,29
3,1,2
4,3,1
0,0,0
2,0,2
9,0,9
0,1,-1
0,0,0
11,3,8
2,0,2
4,0,4
6,2,4
13,0,13
1,0,1
35,2,33
6,8,-2
9,1,8
4,0,4
2,1,1
3,1,2
11,5,6
1,1,0
3,2,1
1,1,0
0,1,-1
2,3,-1
17,3,14
15,1,14
1,0,1
0,1,-1
8,8,0
3,0,3
6,0,6
19,0,19
5,3,2
5,6,-1
23,8,15
7,0,7
0,1,-1
15,0,15
4,1,3
12,0,12
1,0,1
10,5,5
2,0,2
3,0,3
19,66,-47
5,4,1
9,0,9
1,1,0
7,9,-2
9,1,8
1,2,-1
1,0,1
8,0,8
0,0,0
4,0,4
0,0,0
0,0,0
3,13,-10
3,0,3
0,2,-2
0,4,-4
1,1,0
9,2,7
9,6,3
11,10,1
3,1,2
3,4,-1
8,1,7
16,6,10
31,48,-17
2,2,0
1,2,-1
10,1,9
0,1,-1
7,0,7
2,3,-1
0,1,-1
4,4,0
11,0,11
2,1,1
2,0,2
0,4,-4
1,1,0
3,5,-2
5,0,5
18,3,15
1,1,0
3,1,2
3,0,3
7,0,7
9,3,6
0,0,0
7,21,-14
7,4,3
90,0,90
0,1,-1
8,9,-1
6,6,0
3,0,3
20,1,19
3,2,1
1,4,-3
0,0,0
1,0,1
2,0,2
0,0,0
32,0,32
4,0,4
5,0,5
13,3,10
0,0,0
3,0,3
4,6,-2
3,4,-1
3,0,3
0,1,-1
2,3,-1
3,0,3
1,2,-1
12,0,12
0,36,-36
3,0,3
15,1,14
0,1,-1
2,0,2
2,0,2
15,62,-47
34,15,19
22,3,19
5,0,5
0,1,-1
2,0,2
6,4,2
1,3,-2
2,1,1
5,6,-1
4,4,0
0,0,0
3,1,2
0,0,0
9,1,8
0,0,0
4,16,-12
2,1,1
2,0,2
0,0,0
4,1,3
3,0,3
0,0,0
1,1,0
1,1,0
3,0,3
6,1,5
0,0,0
3,5,-2
0,8,-8
12,0,12
1,0,1
12,19,-7
0,1,-1
0,0,0
8,6,2
7,2,5
2,1,1
12,3,9
9,2,7
3,0,3
2,0,2
2,2,0
33,2,31
11,6,5
13,0,13
0,0,0
19,4,15
3,2,1
7,2,5
28,3,25
2,6,-4
23,10,13
6,0,6
1,0,1
0,0,0
3,1,2
0,1,-1
2,0,2
3,0,3
1,1,0
3,0,3
7,1,6
0,1,-1
1,0,1
0,2,-2
15,0,15
1,1,0
1,0,1
6,1,5
0,5,-5
3,0,3
0,0,0
5,0,5
18,94,-76
0,0,0
3,4,-1
5,5,0
6,0,6
2,0,2
1,0,1
0,0,0
4,0,4
1,0,1
17,0,17
6,1,5
0,0,0
8,0,8
4,1,3
24,0,24
29,1,28
0,0,0
4,1,3
9,6,3
19,0,19
1,1,0
9,0,9
1,0,1
0,2,-2
43,2,41
5,0,5
3,1,2
11,1,10
5,0,5
8,0,8
4,1,3
8,4,4
27,2,25
2,0,2
11,0,11
0,1,-1
1,0,1
9,0,9
0,0,0
6,1,5
4,14,-10
0,0,0
10,53,-43
6,1,5
0,0,0
5,0,5
0,0,0
5,0,5
2,0,2
2,0,2
4,0,4
2,1,1
9,1,8
0,1,-1
1,0,1
0,0,0
9,0,9
0,2,-2
5,9,-4
5,0,5
0,0,0
2,1,1
2,6,-4
3,1,2
10,0,10
18,1,17
0,0,0
1,2,-1
13,7,6
0,4,-4
3,0,3
25,0,25
11,1,10
0,5,-5
3,1,2
7,3,4
4,3,1
1,1,0
0,0,0
1,1,0
58,20,38
6,4,2
19,9,10
1,32,-31
5,0,5
11,20,-9
3,4,-1
25,3,22
18,2,16
7,7,0
2,1,1
10,1,9
5,0,5
1,1,0
3,2,1
9,10,-1
0,7,-7
0,0,0
3,1,2
0,0,0
2,0,2
0,4,-4
1,2,-1
9,1,8
3,1,2
3,0,3
10,6,4
2,1,1
1,0,1
1,0,1
0,2,-2
9,14,-5
6,0,6
1,4,-3
2,0,2
0,0,0
0,0,0
7,0,7
1,0,1
12,3,9
2,3,-1
0,1,-1
2,1,1
9,0,9
4,1,3
8,1,7
0,1,-1
0,0,0
6,0,6
9,2,7
1,0,1
11,21,-10
2,0,2
21,0,21
0,0,0
10,5,5
3,1,2
2,0,2
3,0,3
33,14,19
4,1,3
0,5,-5
6,0,6
0,4,-4
8,2,6
6,0,6
0,0,0
2,2,0
6,2,4
9,2,7
5,2,3
2,0,2
4,0,4
1,1,0
2,0,2
3,1,2
3,0,3
5,0,5
1,0,1
0,0,0
1,1,0
15,8,7
8,0,8
10,0,10
7,0,7
2,2,0
0,0,0
32,1,31
6,1,5
12,2,10
6,5,1
23,20,3
2,9,-7
10,4,6
43,0,43
0,0,0
2,4,-2
2,1,1
6,1,5
3,8,-5
17,4,13
15,1,14
5,4,1
18,0,18
5,8,-3
2,1,1
3,0,3
9,2,7
2,0,2
0,0,0
3,3,0
8,1,7
8,2,6
0,0,0
0,0,0
5,2,3
3,2,1
5,8,-3
0,0,0
4,1,3
18,0,18
1,0,1
1,0,1
0,0,0
1,0,1
0,0,0
1,0,1
0,0,0
5,7,-2
105,39,66
0,0,0
12,2,10
7,4,3
0,1,-1
0,0,0
2,0,2
8,0,8
5,8,-3
1,1,0
2,1,1
1,0,1
4,0,4
2,1,1
35,9,26
1,10,-9
1,4,-3
11,19,-8
47,9,38
4,0,4
16,7,9
7,2,5
6,5,1
5,0,5
20,0,20
0,0,0
0,7,-7
0,5,-5
10,4,6
25,0,25
2,0,2
7,4,3
24,1,23
36,74,-38
45,4,41
6,18,-12
4,0,4
2,2,0
5,0,5
31,54,-23
4,0,4
3,5,-2
16,4,12
1,0,1
12,11,1
0,0,0
0,0,0
7,1,6
0,2,-2
0,1,-1
0,3,-3
0,1,-1
15,0,15
0,0,0
0,2,-2
9,0,9
2,1,1
4,7,-3
4,0,4
17,17,0
0,0,0
2,1,1
4,0,4
7,2,5
10,1,9
3,1,2
0,0,0
3,0,3
0,1,-1
0,3,-3
17,1,16
0,0,0
0,2,-2
15,2,13
1,1,0
6,0,6
15,0,15
0,0,0
9,22,-13
5,0,5
6,0,6
0,0,0
11,0,11
16,0,16
1,0,1
1,0,1
1,0,1
2,5,-3
1,0,1
2,1,1
4,2,2
5,1,4
24,8,16
6,4,2
2,0,2
1,1,0
3,1,2
4,10,-6
3,3,0
